EMPRESA,NOME COMERCIAL,SUBSTÂNCIA ACTIVA,DOSAGEM,FORMA,APRESENTAÇÃO
SOCIEDADE AFRICANA DE SAÚDE LDA,GLICOMED 850,Metformina,850mg,comprimidos,3 blister de 10 comprimidos
SOCIEDADE AFRICANA DE SAÚDE LDA,GLICOMED 500,Metformina,500mg,comprimidos,3 blister de 10 comprimidos
SOCIEDADE AFRICANA DE SAÚDE LDA,DICLO - DR,Diclofenac,50mg,comprimido gastro resistente,2 blister de 10 comprimidos e 10 blister de 10 comprimidos
SOCIEDADE AFRICANA DE SAÚDE LDA,BRAXAN,Ceftriaxona,1g,Pó para suspensão injectável,1 Frasco ampola + ampola 3.5ml de lidocaína + 1 ampola de 10ml
SOCIEDADE AFRICANA DE SAÚDE LDA,APD VOFEN,Diclofenac,1.16%,Creme,bisnaga de 30g
"MEDIS FARMACÊUTICA, LDA",VEGAMAX 50,"Sildenafil, Citrato",50mg,,1 blister de 4 comprimidos
"MEDIS FARMACÊUTICA, LDA",VEGAMAX 100,"Sildenafil, Citrato",100mg,comprimido,1 blister de 4 comprimidos
"MEDIS FARMACÊUTICA, LDA",DECLOT,Varfarina Sódico,5mg,comprimido,3 blister de 10 comprimidos
"MEDIS FARMACÊUTICA, LDA",CLOPI 75,"Clopidogrel, Bissulfato",75mg,comprimido,3 blister de 10 comprimidos
"MEDIS FARMACÊUTICA, LDA",CELEBIB 200,Celecoxibe,200mg,Cápsula,3 blisters de 10 Cápsulas
"MEDIS FARMACÊUTICA, LDA",CELEBIB 100,Celecoxibe,100mg,Cápsula,3 blisters de 10 Cápsulas
NATUR PHARMA,XALOPTIC T,Latanoprost + timilol,0.05mg/ml + 5mg/ml,solução oftálmica,Frasco conta gotas de 2.5ml
NATUR PHARMA,TRUSOMIDA 2% OPHTALMIC SOLUTION,"Dorzolamida, hidrocloreto",20mg/ml,solução oftálmica,Frasco conta gotas de 5ml
NATUR PHARMA,TONIFER XAROPE,Ferro + Vitamina B12 + ácido fólico,40mg/ml + 50mcg/ml + 0.5mg/ml,Xarope,Frasco de 200ml
NATUR PHARMA,NEMCARE,Meropenem,1000mg,pó para suspençaõ Injectável,Frasco de
NATUR PHARMA,LAMOFLOX 0.5% PPHTALMIC SOLUTION,Moxifloxacina + Timolol,5mg/ml + 5mg/ml,solução oftálmica,Frasco de 5ml
NATUR PHARMA,CEFXAL,CEFIXIMA,400mg,comprimidos revestidos,10blister de 10 comprimidos
NATUR PHARMA,CANDICORT pomada,Ketoconazol + Betametasona,20mg/g + 0.64mg/g,pomada,bisnaga de 30g
NATUR PHARMA,CANDICORT CREME,Ketoconazol + Betametasona,20mg/g + 0.64mg/g,creme,bisnaga de 30g
"TMI - HEALTHCARE, LDA",VENTOALDO,salbutamol,100mcg,Solução para pulverização bucal,embalagem de 10ml
MDS - Medicamento e Diagnóstico na Saúde S.A,TANSULOSINA GENERIS,"Tansulosina, cloridrato",0.4mg,Cápsulas de libertação prolongada,Embalagem de 30 cápsulas
MDS - Medicamento e Diagnóstico na Saúde S.A,DICLOFENAC REUMOLIDE ®,Diclofenac,10w/w,Gel,Bisnaga de 100g
MDS - Medicamento e Diagnóstico na Saúde S.A,OMEPRAZOL GENERIS,omeprazol,20mg,cápsulas Gastro intestinais,Embalagem de 14 e de 56 cápsulas
MDS - Medicamento e Diagnóstico na Saúde S.A,LORATADINA GENERIS 10mg,Loratadina,10mg,Comprimidos revestidos,Embalagens de 20 comprimidos
MDS - Medicamento e Diagnóstico na Saúde S.A,LOPERAMIDA GENERIS,Loperamida,2mg,Comprimidos revestidos,Embalagens de 20 comprimidos
MDS - Medicamento e Diagnóstico na Saúde S.A,GLUCOSAMINA GENERIS,Glucosamina,1500mg,Pó para solução oral,embalagem de 60 saquetas
MDS - Medicamento e Diagnóstico na Saúde S.A,GLIBENCLAMIDA GENERIS,Glibenclamida,5mg,Comprimidos,Embalagem de 60 comprimidos
MDS - Medicamento e Diagnóstico na Saúde S.A,DOMPERIDONA GENERIS,"Domperidona, maleato",10mg,Comprimidos revestidos,Embalagens de 20 comprimidos
AFRI FARMÁCIA LDA,DOLUTEGRAVIR 50MG + LAMIVUDINE 300MG + TENOFOVIR 300MG,Dolutegravir + Lamivudina + Tenofovir,50mg + 300mg + 300mg,comprimidos revestidos,Embalagem de 30 e 90 comprimidos
MDS - Medicamento e Diagnóstico na Saúde S.A,DICLOFENAC GENERIS,Diclofenac,50mg,comprimidos revestidos,Embalagem de 60 comprimidos
MDS - Medicamento e Diagnóstico na Saúde S.A,CETIRIZINA GENERIS,"cetirizina, dicloridrato",1mg/ml,Solução oral,frasco de 150ml e frasco de 200ml
MDS - Medicamento e Diagnóstico na Saúde S.A,AZITROMICINA GENERIS,Azitromicina,40mg/ml,pó para suspensão oral,frasco de 15ml e de 30ml
"TMI - HEALTHCARE, LDA",ATROALDO,Brometo de Ipatrópio,20mcg,Solução para inalação,embalagem de 10ml
MDS - Medicamento e Diagnóstico na Saúde S.A,AMOXICILINA GENERIS,"Amoxicilina, trihitratado",500mg,cápsulas,embalagem de 16 cápsulas
"SOCIEDADE MOÇAMBICANA DE MEDICAMENTOS, SA",AMOXICILINA + ACIDO CLAVULANICO,Amoxicilina + Ácido Clavulânico,500mg + 125mg,comprimidos,2 blister de 10 comprimidos
MDS - Medicamento e Diagnóstico na Saúde S.A,AMBROXOL GENERIS,"Ambroxol, cloridrato",3mg/ml,Xarope,frasco de 200ml
MDS - Medicamento e Diagnóstico na Saúde S.A,ALOPURINOL GENERIS,Alopurinol,100mg,comprimidos,blister de 20 comprimidos
MDS - Medicamento e Diagnóstico na Saúde S.A,ALOPURINOL GENERIS,Alopurinol,300mg,comprimidos,blister de 60 comprimidos
"EVEREADY PHARMA, LDA",PAREST,Paracetamol,125mg/5ml,Suspensão Oral,Frasco de 100ml
"EVEREADY PHARMA, LDA",LIDO-CARE,Lidocaina,20mg/ml,solução injectavel,Frasco de 20ml
"EVEREADY PHARMA, LDA",FALCI CARE,Artesunato,60mg/5ml,Pó para injectável,Ampola de 2ml + 2 diluentes
"EVEREADY PHARMA, LDA",ESTRIM,Sulfametoxazol + Trimetoprim,400mg + 80mg,comprimidos,1 blister de 10 comprimidos e 10x10
"EVEREADY PHARMA, LDA",ERZIDE,Gliclazida,80mg,comprimidos,1 blister de 10 comrimidos
"EVEREADY PHARMA, LDA",ERNICOL,Cloranfenicol,0.5%w/w,gotas oftalmicas,Frasco de 10ml
"EVEREADY PHARMA, LDA",ERGYL,Metronidazol,125mg/5ml,solução injectável,frasco de 60ml
"EVEREADY PHARMA, LDA",ERGENT,Gentamicina,40mg/ml,solução injectavel,ampola de 2ml
"EVEREADY PHARMA, LDA",ERFENAC,Diclofenac,75mg/3ml,solução injectável,ampola de 3ml
"EVEREADY PHARMA, LDA",ERBRUFEN,Ibuprofeno,100mg/5ml,Suspensão Oral,Frasco de 60ml
"EVEREADY PHARMA, LDA",CIPREST,Ciprofloxacina,3mg/ml,gotas oftalmicas,Frascp de 5ml
MAPUTO HEALTH CARE Lda,BACTROCIN,Mupirocina,2%W/W,Pomada,Bisnaga de 10g
MAPUTO HEALTH CARE Lda,ALARYD SYRUP,Cetotifeno,100mg/5ml,xarope,Frasco de 100ml
MAPUTO HEALTH CARE Lda,ADRYL SYRUP,Cloridrato de Difenidramina,10mg/ml,Xarope,frasco de 100ml
ARTEMIS PHARMACEUTICALS LDA,ARTEMYCIN 500,"Vancomicina, cloridrato",500mg,Pó para solução injectável,Embalagem com frasco de 10ml
ARTEMIS PHARMACEUTICALS LDA,ARTEMYCIN 1000,"Vancomicina, cloridrato",1000mg,Pó para solução injectável,Embalagem com frasco de 10ml
"MEDIS FARMACÊUTICA, LDA",VANCOMICINA AZEVEDOS,"Vancomicina, cloridrato",500mg,Pó para solução para perfusão,10 frascos de 10ml
"MEDIS FARMACÊUTICA, LDA",VANCOMICINA AZEVEDOS,"Vancomicina, cloridrato",1000mg,Pó para solução para perfusão,10 frascos de 10ml
"MEDIS FARMACÊUTICA, LDA",STALOMAC 5,"Escitalopram, Oxalato",5mg,Comprimidos,Blister 3 x 10
"MEDIS FARMACÊUTICA, LDA",STALOMAC 20,"Escitalopram, Oxalato",20mg,Comprimidos,Blister 3 x 10
"MEDIS FARMACÊUTICA, LDA",STALOMAC 10,"Escitalopram, Oxalato",10mg,Comprimidos,Blister 3 x 10
"MEDIS FARMACÊUTICA, LDA",ISOTRETINOINA OROTREX,Isotretinina,10mg,Comprimidos,3 blister de 10 comprimidos
"MEDIS FARMACÊUTICA, LDA",ISOTRETINOINA OROTREX,Isotretinina,20mg,Comprimidos,3 blister de 10 comprimidos
"MEDIS FARMACÊUTICA, LDA",IRBEMAC H 150,Irbesartan + Hidroclorotiazida,150mg + 12.5mg,Comprimidos,Blister 2 x 14
"MEDIS FARMACÊUTICA, LDA",ESOFINE 40,Esomeprazol,40mg,Cápsulas,3 blister de 10 cápsulas
"MEDIS FARMACÊUTICA, LDA",ESOFINE 20,Esomeprazol,20mg,Cápsulas,3 blister de 10 cápsulas
"MEDIS FARMACÊUTICA, LDA",BALPIC,"Dimetindeno, maleato",1mg/g,Gel,Bisnaga de 30g e 50g
"MEDIS FARMACÊUTICA, LDA",BALFOLIC,Ácido folico,400mcg,comprimidos,ebalagem de 120 comprimidos
ACE HEALTH CARE LDA,ACERIDE,"Amilorido, cloridrato",5mg,comprimido,10 blister de 10 comprimidos
"KAMBENY, LDA",TEMIXYS,Lamivudina + Tenofovir disoproxil fumarate,300mg + 300mg,comprimidos,Frasco de 30 comprimidos
FARMA HOLDINGS SA,LAMIVUDINA + NEVIRAPINE + Zidovudina,Lamivudina + Nevirapina + Zidovudina,30mg + 50mg + 60mg,Comprimidos dispersivel,Frasco de 60 comprimidos
ACE HEALTH CARE LDA,VITAMIN B COMPLEX INJECTION,Tiamina + Piridoxina + Cianocobalamina + Nicotinamida + D-Pentanol,50mg + 50mg + 0.5mg + 50mg + 25mg +,solução injectável,10 ampolas de 2ml
AFRI FARMÁCIA LDA,SEVOTROY 250,Sevoflurano,250ml,Liquido para inalação,Frasco de 250ml
ACE HEALTH CARE LDA,QUININOR - M,Norfloxacina + Metronidazol,200mg + 200mg,comprimidos revestidos,10 blister de 10 comprimidos
ACE HEALTH CARE LDA,NOVASPRIN 100,Aspirina,100mg,comprimidos revestidos,3 blister de 10 comprimidos
ACE HEALTH CARE LDA,METOPRIX 10,"Metoclopramida, cloridrato",10mg,comprimido,10 blister de 10 comprimidos
ACE HEALTH CARE LDA,INTAMAB,Rituximab,500mg/50ml,Solução para infusão,frasco de 50ml
ACE HEALTH CARE LDA,INTAMAB,Rituximab,100mg/10ml,Solução para infusão,frasco de 10ml
ACE HEALTH CARE LDA,HEPACLOT,Heparina sódica,5000UI,solução injectável,frasco de 5ml
ACE HEALTH CARE LDA,GENTAMICIN INJECTION BP 80MG/2ML,"Gentamicina, Sulfato",80mg/2ml,solução injectável,10 ampolas de 2ml
ACE HEALTH CARE LDA,GABTAS 300,Gabapentina,300mg,cápsula,3 blister de 10 comprimidos
ACE HEALTH CARE LDA,GABTAS 100,Gabapentina,100mg,cápsula,3 blister de 10 comprimidos
ACE HEALTH CARE LDA,EPOFIT 4000,Eritropoietina,4000IU/ml,Solução injectável,frasco de 1ml
ACE HEALTH CARE LDA,EPOFIT 4000,Eritropoietina,4000IU/ml,Solução injectável,frasco de 1ml
ACE HEALTH CARE LDA,DICLOFENAC SODIUM INJECTIONS 75MG/3ML,Diclofenac,75mg,solução injectável,10 ampolas de 3ml
ACE HEALTH CARE LDA,CYTAX 300,Paclitaxel,300mg,Solução para infusão,frasco de 50ml
ACE HEALTH CARE LDA,CIMETRIX 400,Cimetidina,400mg,comprimidos revestidos,10 blister de 10 comprimidos
ACE HEALTH CARE LDA,CEFTRIAXONE FOR INJECTION,Ceftriaxona,1000mg,Pó para solução injectável,frasco de 10ml + água para injectável
ACE HEALTH CARE LDA,CEFOTAXIME FOR INJECTION,Cefotaxima,500mg,Pó para solução injectável,frasco de 5ml + água para injectável
ACE HEALTH CARE LDA,CEFOTAXIME FOR INJECTION,Cefotaxima,1000mg,Pó para solução injectável,frasco de 10ml + água para injectável
ACE HEALTH CARE LDA,ACETRON-S,Ondansetron,4mg/5ml,Solução oral,frasco de 60ml
ACE HEALTH CARE LDA,ACETOL 20%,Manitol,20g,solução injectável,100ml
ACE HEALTH CARE LDA,ACE FORTE PLUS,Ibuprofeno + Paracetamol + Cafeina,400mg + 325 + 40mg,cápsulas,10 x2 x 10 cápsulas
"SOCIEDADE MOÇAMBICANA DE MEDICAMENTOS, SA",FLUCONAZOL SMM,Fluconazol,200mg/100ml,Solução injectável,Frasco de 100ml
"SOCIEDADE MOÇAMBICANA DE MEDICAMENTOS, SA",CIPROFLOXACINA SMM,Ciprofloxacina,200mg/100ml,Solução injectável,Frasco de 100ml
"SOCIEDADE MOÇAMBICANA DE MEDICAMENTOS, SA",ÁGUA PARA INJECTÁVEL,água,N/A,injectável,50 frascso de 10ml
MEDIMPORT LDA,PROLIF 250,Saccharamyces boulardii,250mg,cápsula,embalagem de 10 e de 20 unidade
MISSIONPHARMA MOÇAMBIQUE,CLOTRIMAZOL,Clotrimazol,500mg,Comprimidos vaginais,5 blister de 5 comprimidos
AFRI FARMÁCIA LDA,EFAVIRENZ + LAMIVUDINE + TENOFOVIR DISOPROXIL FUMERATE,Efavirenz + Lamivudina + Tenofovir,600mg + 300mg + 300mg,Comprimidos,Frasco de 30 e de 90 comprimidos
AFRI FARMÁCIA LDA,DOLUTEGRAVIR 50MG,Dolutegravir,50mg,comprimidos,Frasco de 30 e de 90 comprimidos
FARMA HOLDINGS SA,"EFAVIRENZ, EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE",Efavirenz + Emtricitabina + Tenofovir disoproxil fumarato,600mg + 200mg + 300mg,Comprimidos,Frasco HDPE de 30 comprimidos
MISSIONPHARMA MOÇAMBIQUE,DIAZEPAM  INJECTAVEL BP,Diazepam,5mg/ml,Injectável,5 ampolas de 2ml
FARMA HOLDINGS SA,OGIVRI 440,Trastuzumab,440mg,Injectável,frasco
FARMA HOLDINGS SA,OGIVRI 150,Trastuzumab,150mg,Injectável,frasco
MEDIMPORT LDA,AVERTISO,Misoprostol,200mcg,comprimidos,10 blister de 4 comprimidos
WELL WORTH LDA,IMATIB - 400,Imatinib,400mg,Capsulas,Embalagem contendo 10 blisters de 10 capsulas
WELL WORTH LDA,IMATIB - 100,Imatinib,100mg,Capssulas,Embalagem contendo 10 blisters de 10 capsulas
"TMI - HEALTHCARE, LDA",ZEDNAD,"Cefuroxima, Acetil",500mg,comprimidos revestidos,embalagem de 10 comprimidos
"SOVIP MEDIS, LDA",V-MYCINE-500,Azitromicina,500mg,comprimido,10 blister de 3 comprimidos
"TMI - HEALTHCARE, LDA",TIMODOR SOLUÇÃO OFTÂLMICA,Cloridrato de dorzolamida + Maleato de timolol,20mg/ml + 5mg/ml,Solução oftâlmica,Frasco de 5ml
"TMI - HEALTHCARE, LDA",SALBUVENT,Sulfato de salbutamol,5mg/ml,Solução nebulizador,Frasco de 5ml
"TMI - HEALTHCARE, LDA",REDMOND SUSPENSÃO OFTÁLMICA,Acetato de prednisolona,10mg/ml,Suspensão oftálmica,Frasco conta-gotas de 5ml
"TMI - HEALTHCARE, LDA",LOMOND GOTAS OFTALMICAS,Cloridrato oloptadina,2mg/ml,Suspensão oftálmica,Frasco de 5ml
"TMI - HEALTHCARE, LDA",CABAST SUSPENSAO OFTALMICA,"Levocabastina, cloridrato",0.5mg/ml,Suspensão oftálmica,Frasco de 10ml
"TMI - HEALTHCARE, LDA",BRIMOGAN SOLUÇÃO OFTÂLMICA,Tartarato de Brimonidina,2mg/ml,solução oftálmica,Frasco gotejador de 5ml
"TMI - HEALTHCARE, LDA",BRIMOGAN PLUS SOLUÇÃO OFTÂLMICA,Tartarato de Brimonidina + Maleato de timolol,2mg/ml + 5mg/ml,Solução oftâlmica,Frasco de 5ml
"ORBIS PHARMA, Lda",CARZIN XL,Mesilato de doxazosina,4mg,Comprimidos,Embalagem contendo blisters de 30 comprimidos
"SOVIP MEDIS, LDA",VIPROGRA,Sildenafil,100mg,Comprimidos,Embalagem 1 x 4 comprimidos
"SOVIP MEDIS, LDA",VIPROCIP-250,Ciprofloxacina,250mg,Comprimidos,Embalagem 10 x 10 comprimidos
AFRI FARMÁCIA LDA,LEVIGRESS 500,Levetiracetam,500mg,Comprimidos,3 blister de 10 comprimidos e 10 blister de 10 comprimidos
"SOVIP MEDIS, LDA",EMMOBIL,Diclofenac dietilamino + Metil salicilato + Óleo de linhaça + Mentol,1.16% + 10% + 3% + 2%,Gel,Bisnaga de 30g
"SOVIP MEDIS, LDA",BREATHE IN,Montelucaste de Sódio,10mg,Comprimidos,Embalagem de 3 x 7 comprimidos
FARMA HOLDINGS SA,Alltera 50,Lopinavir + Ritonavir granulos orais,40mg +  10mg,Granulos orais,Embalagem contendo 120 saquetas
FARMACÊUTICA AUSTRAL,OTTODUO,"Dexametasona, fosfato + Ofloxacina",1mg/ml + 3mg/ml,Gotas auriculares,Frasco de 5ml
FARMACÊUTICA AUSTRAL,FLOKORT,"Dexametasona, fosfato + Ofloxacina",1mg/ml + 3mg/ml,Colírio,Frasco de 5ml
WELL WORTH LDA,DOLUTEGRAVIR + LAMIVUDINA + TENOFOVIR DISOPROXIL FUMARATE TABLETS,Dolutegravir + Lamivudina + Tenofovir,50mg + 300mg + 300mg,Comprimidos revestidos,Frasco de 30 e 90 comprimidos
"TMI - HEALTHCARE, LDA",OMNI 250MG,cefdnir,250mg/5ml,pó para suspenção oral,Frasco de 60ml
"TMI - HEALTHCARE, LDA",OMNI 125MG,cefdnir,125mg/5ml,pó para suspenção oral,Frasco de 40ml
"GENERICS & SPECIALITIES, Lda",VANSAFE-CP 500MG,Vancomicina,500mg,Injectavel,Frasco de vidro de 10ml
"GENERICS & SPECIALITIES, Lda",VANSAFE-CP 1G,Vancomicina,1g,Injectavel,Frasco de vidro tipo III de 10ml
