EMPRESA,NOME COMERCIAL,SUBSTÂNCIA ACTIVA,DOSAGEM,FORMA,APRESENTAÇÃO
AFRI FARMÁCIA LDA,TRAMAGESIC 100,"Tramadol, Hidrocloreto",100mg/2ml,Injectável,Ampola de 2ml
AFRI FARMÁCIA LDA,TRUSTIVA,Efavirenz + Emtricitabina + Tenofovir disoproxil fumarato,600mg + 200mg + 300mg,Comprimidos Revestidos,frasco de 30 comprimidos
AFRI FARMÁCIA LDA,BICATERO 50,Bicalutamida,50mg,Comprimidos Revestidos,Frasco de 30 comprimidos
AFRI FARMÁCIA LDA,BICATERO 150,Bicalutamida,150mg,Comprimidos Revestidos,Frasco de 30 comprimidos
AFRI FARMÁCIA LDA,PARACOL,Paracetamol,500mg,Comprimidos,Frasco de 1000 comprimidos e caixa de 100x10
AFRI FARMÁCIA LDA,ALBENDAZOL,Albendazol,200mg,Comprimidos,Frasco de 25 comprimidos
AFRI FARMÁCIA LDA,ATENOLOL,Atenolol,100mg,Comprimidos,Frasco de 1000 comprimidos
AFRI FARMÁCIA LDA,ASCORBIC ÁCIDO,Ácido ascórbico,100mg,Comprimidos,"Frasco de 1000 comprimidos, 10x 10"
AFRI FARMÁCIA LDA,BUPIVACAINA HIDROCLORIDO,"Bupivacaína, hidrocloreto",5mg/ml,Solução Injectável,frasco de 20ml
AFRI FARMÁCIA LDA,"EFAVIRENZ, LAMIVUDINE AND TENOFOVIR DISOPROXIL FUMARATE TABLETS",Efavirenz + Lamivudina + Tenofovir disoproxil fumarato,600mg + 300mg + 300mg,Comprimidos,frasco de 30 comprimidos
AFRI FARMÁCIA LDA,HYOSCINE BUTYLBROMIDE,Hioscine Butilbromido,20mg/ml,Injectável,ampola de 1ml
AFRI FARMÁCIA LDA,CARBAMAZEPINE,Carbamazepina,200mg,Comprimidos,"Frasco de 1000 comprimidos, 10x10"
AFRI FARMÁCIA LDA,MONAST 5,Montelucaste de Sódio,5mg,Comprimidos mastigaveis,embalagem de 3x10
AFRI FARMÁCIA LDA,MONAST 10,Montelucaste de Sódio,10mg,comprimidos,embalagem de 3 blistersx 10 comprimidos
AFRI FARMÁCIA LDA,THIOPENTAL,Tiopental,1g,pó estéril para injecçâo,frasco de 20ml
AFRI FARMÁCIA LDA,SODIUM CHLORIDE 20%,Cloreto de Sódio,200mg/ml,Solução injectável,Ampola de 20ml
AFRI FARMÁCIA LDA,RIFAMPICINA + ISONIAZIDA + PIRAZINAMIDA,Rifampicina + Isoniazida + pirazinamida,30mg + 60mg + 150mg,Comprimidos dispersível,3 blister de 28 comprimidos
AFRI FARMÁCIA LDA,MONOPAS 4G,Aminosalicilato Sódico,600mg/g,Grânulos,30 saquetas
AFRI FARMÁCIA LDA,KAPOCIN,Capreomicina,1000mg,Injectável,Frasco de10 ml
AFRI FARMÁCIA LDA,TENOF,Tenofovir Disoproxil Fumarato,300mg,Comprimidos,Frasco de 30 comprimidos
AFRI FARMÁCIA LDA,GLUMAC®,Arteméter + Lumefantrina,20mg + 120mg,Comprimidos,"embalagem com 6, 12, 18 e 24 comprimidos"
AFRI FARMÁCIA LDA,ASAQ GPSC,Artesunato + Amodiaquina,100mg + 270mg,Comprimidos,embalagem de 6 comprimidos
AFRI FARMÁCIA LDA,ASAQ GPSC,Artesunato + Amodiaquina,50mg + 135mg,Comprimidos,embalagem de 3 comprimidos
AFRI FARMÁCIA LDA,ASAQ GPSC,Artesunato + Amodiaquina,"25mg + 67,5mg",Comprimidos,embalagem de 3 comprimidos
AFRI FARMÁCIA LDA,ZIDOVUDINA TABLETS,Zidovudina,300mg,Comprimidos,Embalagem de 60 comprimidos
AFRI FARMÁCIA LDA,G - COSPE,Sulfadoxina + Pirimetamina,500mg + 25mg,Comprimidos,"Blister de 3 comprimidos, embalagem de 100 comprimidos e frasco de 1000 comprimidos"
AFRI FARMÁCIA LDA,GEMTERO 1g,"Gemcitabina, hidrocloreto",1g,Pó para solução injectável,frasco de 1g
AFRI FARMÁCIA LDA,GEMTERO,"Gemcitabina, hidrocloreto",200mg,Pó para solução injectável,frasco de 200mg
AFRI FARMÁCIA LDA,GEMCITAPAR,"Gemcitabina, hidrocloreto",200mg,Injectável,Frasco de 50ml
AFRI FARMÁCIA LDA,STREPTOMYCIN,"Estreptomicina, Sulfato",1g,Injectável,Embalagem de 50 ampolas de 10ml
AFRI FARMÁCIA LDA,PACLIPAR -100,Paclitaxel,100mg/16.7ml,Injectável,Frasco de 50ml
AFRI FARMÁCIA LDA,MEASLES VACCINE live Attenuated (Freeze-Dried),Virus do sarampo,1000 CCID50,Injecção liofilizada,Frasco de 10 doses de 5ml
AFRI FARMÁCIA LDA,MEASLES AND RUBELLA VACCINE live Attenuated (Freeze-Dried),Virus do sarampo + virus da Rubéola,1000 CCID50 + 1000 CCID50,Injecção liofilizada,Frasco de 10 doses de 5ml
AFRI FARMÁCIA LDA,LAMIVUDINE TABLETS,Lamivudina,150mg,Comprimidos,embalagem de 60comprimidos
AFRI FARMÁCIA LDA,REPOITIN 4000,Eritropoetina Humana Recombinante (rHuEPO),4000IU/1.0ml,Solução injectavel,Embalagem de 1 ampola e embalagem de 10 ampolas
AFRI FARMÁCIA LDA,REPOITIN 2000,Eritropoetina Humana Recombinante (rHuEPO),2000IU/0.5ml,Solução injectavel,Embalagem de 1 ampola e embalagem de 10 ampolas
AFRI FARMÁCIA LDA,ESTAVUDINE,Estavudina,30mg,comprimidos,frasco de 60 cápsulas
"GENERICS & SPECIALITIES, Lda",LABOCAINE GEL,"Lidocaína, Hidrocloreto",20mg/g,Gel,bisnaga de 15g
"GENERICS & SPECIALITIES, Lda",IBULAB - 200,Ibuprofeno,200mg,comprimidos revestidos,frasco de 1000 comprimidos
"GENERICS & SPECIALITIES, Lda",BISCOLAB- 5,Bisacodil,5mg,Comprimidos revestidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,LOPINAVIR & RITONAVIR,Lopinavir + Ritonavir,200mg + 50mg,Comprimidos,Frasco de 120 comprimidos
AFRI FARMÁCIA LDA,"EFAVIRENZ, EMTRICITABINE & TENOFOVIR DISOPROXIL FUMARATO",Efavirenz + Emtricitabina + Tenofovir disoproxil fumarato,600mg + 200mg + 300mg,Comprimidos,Frasco de 30 comprimidos
"GENERICS & SPECIALITIES, Lda",VIBLE (Complexo B),"Tiamina, hidrocloreto (Vit B1) + Riboflavina (Vit B2) + Piridoxina (vit B6) + Nicotinamida + Acido fólico + Cianocobalamina ( vit B13)",1mg + 1mg + 1mg + 15mg + 500mg + 15mg,comprimidos revestidos,Frasco de 1000 comprimidos
"GENERICS & SPECIALITIES, Lda",LACHLOR ORAL SUSPENSION,"Cloranfenicol, palmitato",250mg/5ml,Suspensão oral,frasco de 100ml
"GENERICS & SPECIALITIES, Lda",LABOZINE - 50,Hidralazina,50mg,Comprimidos revestidos,Frasco de 1000 comprimidos
"GENERICS & SPECIALITIES, Lda",LABMET - 10,"Metoclopramida, hidrocloreto",10mg,Comprimidos revestidos,Frasco de 1000 comprimidos
AFRI FARMÁCIA LDA,KABIMOL,Paracetamol,1%w/v,Injectável,frasco de 100ml
"GENERICS & SPECIALITIES, Lda",GLISEN MF2,"Glimepirida + Metformina, Hidrocloreto",2mg + 500mg,Comprimidos,3 Blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",GLISEN MF1,"Glimepirida + Metformina, Hidrocloreto",1mg + 500mg,Comprimidos,Blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",AXOGURD 75,Pregabalina,75mg,Cápsulas,3 blister de 10 cápsulas
"GENERICS & SPECIALITIES, Lda",AXOGURD 300,Pregabalina,300mg,Cápsulas,3 blister de 10 cápsulas
"GENERICS & SPECIALITIES, Lda",AXOGURD 150,Pregabalina,150mg,Cápsulas,3 blister de 10 cápsulas
AFRI FARMÁCIA LDA,LIDOCAINE 2%,"Lidocaína, hidrocloreto",2%,Gel,Bisnaga de 20g
AFRI FARMÁCIA LDA,FLUCONAZOLE,Fluconazol,200mg,Comprimidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,SILVER SULFADIAZINE CREAM USP,Sulfadiazina de Prata,1%,Creme,bisnaga de 15g
AFRI FARMÁCIA LDA,MOXIMAC,Moxifloxacina,400mg,Comprimidos revestidos,1blister de 5 comprimidos
AFRI FARMÁCIA LDA,MANNITOL INTRAVENOUS INFUSION,Manitol,0.2,Infusão Intravenosa,Frasco de 500ml
AFRI FARMÁCIA LDA,LUMITER,Arteméter + Lumefantrina,20mg +120mg,Comprimidos,"Embalagem de 24, 1x6, 2x6, 4x6, 30x6, 1x8, 1x12, 1x18, 1x24, 2x8, 3x8, 30x12, 30x18, 30x24comprimidos"
AFRI FARMÁCIA LDA,GLUCOSE INTRAVENOUS INFUSION B.P,Glicose,300g/l,Injectável,frasco de 500ml
"GENERICS & SPECIALITIES, Lda",MORAL 5,Montelucaste sódico,5mg,Comprimidos mastigáveis,3 blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",MORAL 4,Montelucaste sódico,4mg,Comprimidos mastigáveis,3 blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",MORAL 10,Montelucaste sódico,10mg,Comprimidos revestidos,3 blister de 10 comprimidos
AFRI FARMÁCIA LDA,PREDNISOLONE TABLETS,Prednisolona,20mg,Comprimidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,LEVOMAC 500,Levofloxacina,500mg,Comprimidos revestidos,1 blister de 5 comprimidos
AFRI FARMÁCIA LDA,GABAPENTIN CAPSULES,Gabapentina,300mg,Cápsulas,Frasco de 100 Cápsulas
AFRI FARMÁCIA LDA,DIGOXIN TABLETS,Digoxina,0.25mg,Comprimidos nao revestidos,Embalagem em frasco de 100 comprimidos
AFRI FARMÁCIA LDA,AMLODIPINE TABLETS,"Amlodipina, besilato",10mg,Comprimidos,Frasco de 100 comprimidos e 10 blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",VIBEL TONE,"tiamina, hidrocloreto (Vit B1) + Riboflavina (Vit B2) + Piridoxina Hcl (vit B6) + Cianocobalamina ( vit B13) +Nicotinamida +carmosina",1.5mg + 2.0mg + 1mg + 1mcg + 15mg +,xarope,Embalagem com frasco PET de cor ambar de 100ml
"GENERICS & SPECIALITIES, Lda",LABOCALAMINE LOTION,Calamina,0.2% w/v,Locao,Embalagem com 1 frasco de cor ambar de 200ml
"GENERICS & SPECIALITIES, Lda",KANALAB 1g,"Kanamicina, sulfato",1g/3ml,Solucao injectavel,Embalagem em ampolas com 1g/3ml
"GENERICS & SPECIALITIES, Lda",HYOCIN-10 TABLETS,Butilbrometo de hioscina,10mg,Comprimidos,Embalagem em frasco PEAD de 1000 comprimidos
"GENERICS & SPECIALITIES, Lda",DIXILABOS,Acido nalidixico,300mg/5ml,Suspensao oral,Embalagem em frasco PET ambar de 100ml
"GENERICS & SPECIALITIES, Lda",CHLORANPHENICOL EAR DROPS,Cloranfenicol,50mg/ml,Gotas auriculares,Embalagem em frasco plastico de 10ml
"GENERICS & SPECIALITIES, Lda",CANDILAB,Clotrimazol,1%,Creme tópico,Embalagem com 1 bisnaga de 30g
"GENERICS & SPECIALITIES, Lda",BETALAB-S,"Betametasona, diproprionato + Ácido Salicílico",0.05% + 3%,Pomada,Embalagem com 1 bisnaga de 30g
"GENERICS & SPECIALITIES, Lda",ACILAB - 400,Aciclovir,400mg,Comprimidos Revestidos,Embalagem em frasco PEAD de 500 comprimidos
AFRI FARMÁCIA LDA,SODIUM CHLORIDE INTRAVENOUS INFUSION BP 0.9% W/V,Cloreto de Sódio,0.9% W/V,Infusão Intravenosa,Frasco de polietileno de 500ml
AFRI FARMÁCIA LDA,PYRIDOXINE,"Piridoxina, Cloridrato",50mg,comprimidos revestidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,CLONAZEPAM TABLETS,Clonazepam,2mg,Comprimidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,AMITRIPTYLINE HYDROCHLORIDE TABLETS USP 25mg,"Amitriptilina, Cloridrato",25mg,comprimidos revestidos por pelicula,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,SODIUM CHLORIDE INTRAVENOUS INFUSION BP 0.45% W/V,Cloreto de Sódio,0.45% W/V,Solução injectável,Frasco de polietileno de 500ml
AFRI FARMÁCIA LDA,SINVASTATIN TABLETS BP,Sinvastatina,20mg,Comprimidos,Frasco de 100 comprimidos e 10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,KANAMAC 1000,"Kanamicina, Sulfato",1000mg,Po para injeccao,Frasco de vidro tipo III de 10ml
AFRI FARMÁCIA LDA,GLICLAZIDE TABLETS BP,Gliclazida,80mg,Comprimidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,CARBIMAZOLE TABLETS BP,Carbimazol,5mg,Comprimidos,Frasco de 100 comprimidos e 10 blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",EFAVIRENZ + LAMIVUDINE + TEENOFOVIR DISPROXIL FUMARATE,Efavirenz + Lamivudine + Tenofovir disoproxil fumarato,600mg + 300mg + 300mg,Comprimidos,Frasco de 30 comprimidos
AFRI FARMÁCIA LDA,SPIRONOLACTONE TABLETS BP,Espironolactona,25mg,Comprimidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,NIFEDIPINE EXTENDED RELEASE,Nifedipina,30mg,Comprimidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,AMIODARONA HCL,"Amiodarona, cloridrato",200mg,comprimidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,ACICLOVIR TABLETS BP 400MG (DISPERSIBLE),Aciclovir,400mg,Comprimido,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,PROMETAZINE HYDROCHLORIDE,"Prometazina, cloridrato",25mg,Comprimidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,PRESARTAN H 50,Losartan PotássiCo + Hidroclorotiazida,50mg + 12.5mg,Comprimidos revestidos,2 blister de 14 comprimidos
AFRI FARMÁCIA LDA,PHENYTOIN SODIUM,Fenitoína Sódica,100mg,Comprimidos revestidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,LIZOMAC,Linezolida,600mg,Comprimidos revestidos,6 blister de 10 comprimidos
AFRI FARMÁCIA LDA,LEVOMAC 750,Levofloxacina,750mg,Comprimidos revestidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,CHLORPROMAZINE,"Clorpromazina, cloridrato",100mg,Comprimidos revestidos,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,THEOCLAV - 625,Amoxicilina + Ácido Clavulânico,500mg + 125mg,comprimidos revestidos,2 blister de 10 comprimidos
AFRI FARMÁCIA LDA,THEOCLAV - 375,Amoxicilina + Ácido Clavulânico,250mg + 125mg,comprimidos revestidos,2 blister de 10 comprimidos
AFRI FARMÁCIA LDA,THEOCLAV - 228.5,Amoxicilina + Ácido Clavulânico,200mg + 22.8mg,Pó para suspensão oral,Frasco de 100ml
AFRI FARMÁCIA LDA,THEOCLAV - 156.25,Amoxicilina + Ácido Clavulânico,125mg + 31.25mg,Pó para suspensão oral,Frasco de 100ml
AFRI FARMÁCIA LDA,THEOCLAV - 1000,Amoxicilina + Ácido Clavulânico,875mg + 125mg,comprimidos revestidos,2 blister de 10 comprimidos
AFRI FARMÁCIA LDA,ARTESUN®,Artesunato,30mg,Pó para injecção,Embalagem contendo 1 frasco com 1 ampola  de 2ml de Bicarbonato de sódio e 1 ampola de 10ml de cloreto de sódio
AFRI FARMÁCIA LDA,ARTESUN®,Artesunato,120mg,Pó para injecção,Embalagem contendo 1 frasco com 1 ampola  de 2ml de Bicarbonato de sódio e 1 ampola de 10ml de cloreto de sódio
"GENERICS & SPECIALITIES, Lda",TELLZY H,Telmisartan + Hidroclorotiazida,40mg + 12.5mg,Comprimidos,3 blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",TELLZY 80,Telmisartan,80mg,Comprimidos,3 blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",TELLZY 40,Telmisartan,40mg,Comprimidos,3 blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",T3 MYCIN GEL,Clindamicina,1%w/w,Gel,Bisnaga de 25g
"GENERICS & SPECIALITIES, Lda",ROSAVE 20,Rosuvastatina Cálcica,20mg,Comprimidos,3 blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",ROSAVE 10,Rosuvastatina Cálcica,10mg,Comprimidos,3 blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",MOXOFT 400,Moxifloxacina,400mg,comprimidos,Comprimidos revestidos
"GENERICS & SPECIALITIES, Lda",H- CORT CREAM,Hidrocortisona,1%w/w,Creme,bisnaga de 15g
"GENERICS & SPECIALITIES, Lda",GLISEN 2,Glimepirida,2mg,Comprimidos,3 blister de 10 comprimidos
"GENERICS & SPECIALITIES, Lda",FOBANCORT CREAM,Àcido Fusidico + Diproprionato de Betametasona,2%w/w + 0.064%w/w,Creme,bisnaga de 5g e de 15g
AFRI FARMÁCIA LDA,TENOFOVIR DISOPROXIL FUMARATO+ LAMIVUDINA,Tenofovir disopropil fumarato + Lamivudina,300mg + 300mg,Comprimidos revestidos,Frasco de 30 comprimidos
AFRI FARMÁCIA LDA,MERIGENTA,"Gentamicina, sulfato",20mg/2ml,Injectável,50 ampolas de 2ml
AFRI FARMÁCIA LDA,AZIMER PLUS,Azitromicina,200mg/5ml,suspensão oral,Frasco de 15ml
AFRI FARMÁCIA LDA,RENOL 50,Atenolol,50mg,comprimidos,Frasco 100 comprimidos
AFRI FARMÁCIA LDA,DOLAC 50,Diclofenac,50mg,comprimidos,Frasco 500 comprimidos
AFRI FARMÁCIA LDA,T - STAT,Ácido tranexâmico,500mg/5ml,injectável,25 ampolas de 5ml
AFRI FARMÁCIA LDA,LOPINAVIR & RITONAVIR,Lopinavir + Ritonavir,200mg + 50mg,Comprimidos,Frasco de 120 comprimidos
AFRI FARMÁCIA LDA,CLARITHROMYCIN,Claritromicina,250mg,comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,ZERODOL,Aceclofenac,100mg,comprimidos,3 blisters de 10 comprimidos
AFRI FARMÁCIA LDA,ETOVA-500,Etodolac,500mg,Comprimidos,3 blisters de 10 comprimidos
AFRI FARMÁCIA LDA,ETOVA-400,Etodolac,400mg,Comprimidos,3 blisters de 10 comprimidos
AFRI FARMÁCIA LDA,RIFAMPICIN + ISONIAZID + PYRAZINAMIDE,Rimfapicina + Isoniazida + Pirazinamida,75mg + 50mg + 150mg,Comprimidos dispersivel,Frasco de 100 comprimidos e blisters de 3 blisters de 28 comprimidos
AFRI FARMÁCIA LDA,PRESARTAN 50,"Losartan, potássico",50mg,comprimidos revestidos,2 blister de 14 comprimidos
AFRI FARMÁCIA LDA,LOPINAVIR & RITONAVIR,Lopinavir + Ritonavir,100mg + 25mg,Comprimidos,Frasco de 120 comprimidos
AFRI FARMÁCIA LDA,AZIFAST - 500,Azitromicina,500mg,comprimidos revestidos,blister de 3 comprimidos
AFRI FARMÁCIA LDA,ALOVIR 800,Aciclovir,800mg,Comprimido,embalagem de 10 x 10 comprimidos
AFRI FARMÁCIA LDA,ALOVIR 400,Aciclovir,400mg,Comprimido,Frasco de 100 comprimidos
AFRI FARMÁCIA LDA,TEMOTERO 250,Temozolomida,250mg,Cápsula,Frasco de 5 cápsulas
AFRI FARMÁCIA LDA,TEMOTERO 20,Temozolomida,20mg,Cápsula,Frasco de 5 cápsulas
AFRI FARMÁCIA LDA,TEMOTERO 100,Temozolomida,100mg,Cápsula,Frasco de 5 cápsulas
AFRI FARMÁCIA LDA,PACLITERO,Paclitaxel,30mg/5ml,injectável,Frasco de 5ml
AFRI FARMÁCIA LDA,LAMIVUDINE ORAL SOLUTION,Lamivudina,10mg/ml,Solução oral,Frasco de 240ml
"GENERICS & SPECIALITIES, Lda",ComBE Five®,Toxóide Diftérico + Toxóide tetânico + Toxóide pertussis + R-HBsAg + Polissacárido capsular purificado de Hib ligado a toxóide tetânico,25Lf + 5.5Lf + 161OU + 12.5mcg + 11mcg,Suspensão para injectável,48 Frascos de 1 dose de 0.5ml e 24 frascos de 10 doses de 5ml
AFRI FARMÁCIA LDA,ZOLID,Linezolida,600mg,comprimidos,1 blster de 10 comprimidos
"GENERICS & SPECIALITIES, Lda","DIPHTHERIA AND TETANUS VACCINE (ADSORBED, REDUCED ANTIGEN (S)CONTENT) BE Td®",Toxóide Diftérico + Toxóide tetânico,2LF (≥2UI) + 8.8LF (≥20UI),suspenção para injecção,48 ampolas de dose unica de 0.5ml e 24 ampolas de 10 doses de 5ml
"GENERICS & SPECIALITIES, Lda",ADSORBED TETANUS VACCINE BP BETT,Toxóide tetânico,≥40UI,suspenção para injecção,48 ampolas de 0.5ml e 30 ampolas de 5ml
AFRI FARMÁCIA LDA,SOFGEN,Sofosbuvir,400mg,Comprimidos revestidos,Frascos de 28 comprimidos
AFRI FARMÁCIA LDA,LAMIVUDINA + EFAVIRENZ + TENOFOVIR DISOPROXIL FUMARATO,Lamivudina + Efavirenz + Tenofovir Disopropil Fumarato,300mg + 600mg + 300mg,Comprimidos,Frasco de 30 e 90 comprimidos
AFRI FARMÁCIA LDA,INACTIVATED POLIMYTIS VACCINE SUSPENSION FOR INJECTION ONE DOSE,Pólio virus tipo 1 + Pólio virus tipo 2 + Pólio virus tipo 3,40D + 8D + 32D Unidades antígenos,Suspensão para injectável,Frasco de 0.5ml
AFRI FARMÁCIA LDA,INACTIVATED POLIMYTIS VACCINE SUSPENSION FOR INJECTION  MULTI DOSE,Pólio virus tipo 1 + Pólio virus tipo 2 + Pólio virus tipo 3,40D + 8D + 32D Unidades antígenos,Suspensão para injectável,Frasco de 2.5ml
AFRI FARMÁCIA LDA,BINFIN,Finasterida,5mg,Comprimidos,2 blister de 15 comprimidos
AFRI FARMÁCIA LDA,ATAZANAVIR SULFATE AND RITONAVIR,Atazanavir + Ritonavir,300mg + 100mg,Comprimidos revestidos,Frasco de 30 comprimidos
AFRI FARMÁCIA LDA,SEPGARD,Feracrilum,10g,gel,Bisnaga de 15g
AFRI FARMÁCIA LDA,pH7 EFFERVESCENT GRANULES,Bicarbonato de Sódio + ácido Tarrtárico + Ácido Citrico,2.8g + 1.33g + 0.82g,Grânulos efervescentes,56 saquetas de 5g
"GENERICS & SPECIALITIES, Lda",EFAVIRENZ + EMTRICITABINA + TEENOFOVIR DISPROXIL FUMARATE,Efavirenz + Emtricitabina + Tenofovir disoproxil fumarato,600mg + 200mg + 300mg,Comprimidos,Frasco de 30 comprimidos
"GENERICS & SPECIALITIES, Lda",AMPHOTRET,Anfotericina B,50mg,Pó liofilizado para injectáveis,Frasco de 10ml
AFRI FARMÁCIA LDA,AZUMA 500,Azitromicina,500mg,comprimidos,blister de 6 comprimidos
AFRI FARMÁCIA LDA,AZUMA 250,Azitromicina,250mg,comprimidos,blister de 6 comprimidos
AFRI FARMÁCIA LDA,CELOFEN 200,Celecoxib,200mg,Cápsula,2 blister de 10 cápsulas e  2x10
"GENERICS & SPECIALITIES, Lda",ENBLOK 5,"Nebivolol, hdrocloreto",5mg,Comprimidos,3 Blisters com 10 comprimidos
"GENERICS & SPECIALITIES, Lda",ENBLOK 20,"Nebivolol, hdrocloreto",20mg,Comprimidos,3 Blisters com 10 comprimidos
"GENERICS & SPECIALITIES, Lda",ENBLOK 2.5,"Nebivolol, hdrocloreto",2.5mg,Comprimidos,3 Blisters com 10 comprimidos
"GENERICS & SPECIALITIES, Lda",ENBLOK 10,"Nebivolol, hdrocloreto",10mg,Comprimidos,3 Blisters com 10 comprimidos
AFRI FARMÁCIA LDA,WOSULIN 30/70,Insulina Humana recombinante,100UI/ml,Suspensão injectavel,Ampola de 3ml
AFRI FARMÁCIA LDA,WOSULIN - R,Insulina Humana Isofano,100UI/ml,Suspensão injectavel,Ampola de 10ml
AFRI FARMÁCIA LDA,WOSULIN® - N,Insulina Humana Isofano,100UI/ml,Suspensão injectavel,Ampola de 10ml
AFRI FARMÁCIA LDA,NJOI,"Sildenafil, Citrato",50mg,comprimidos,embalagem de 30 comprimidos
AFRI FARMÁCIA LDA,PRAZIQUANTEL TABLETS,Praziquantel,600mg,Comprimidos,"10 blister de 10 comprimidos, frasco de 100 e 500 comprimidos"
AFRI FARMÁCIA LDA,THEOSTAT - 20,Atorvastatina Cálcica,20mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,THEOSTAT - 10,Atorvastatina Cálcica,10mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,THEOGRA - 50,"Sildenafil, Citrato",50mg,Comprimidos,10 blister de 4 comprimidos
AFRI FARMÁCIA LDA,THEOFIX - 400,Cefixime,400mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,TOLPIDOL OD,"Tolperisona, Cloridrato",450mg,Comprimidos,1 blister de 6 comprimidos
AFRI FARMÁCIA LDA,TOLPIDOL 150,"Tolperisona, Cloridrato",150mg,Comprimidos,1 blister de 10 comprimidos
AFRI FARMÁCIA LDA,POLIOMYELITIS VACCINE,poliovirus tipo 1 (sabin) +  poliovirus tipo 3 (sabin),≥ 106.0 log CCID50 +≥ 5.8 log CCID50,Suspensão oral,1 ampola de 1ml com 10 doses
AFRI FARMÁCIA LDA,HEMOLOK,Feracrylum,10mg/ml,solução esteril,Frasco de 100ml
AFRI FARMÁCIA LDA,THEOSTAT - 40,Atorvastatina Cálcica,40mg,Comprimidos,3 blister de 10 comprimidos
AFRI FARMÁCIA LDA,NEVIRAPINA,Nevirapina,200mg,Comprimidos,Frasco de 60 comprimidos
AFRI FARMÁCIA LDA,LAMIVUDINA 150MG + ZIDOVUDINA 300MG + NEVIRAPINA 200MG,Lamivudina + Zidovudina + Nevirapina,150mg + 300mg + 200mg,Comprimidos,Frasco de 60 comprimidos
AFRI FARMÁCIA LDA,CELOFEN - 100,Celecoxib,100mg,Cápsula,2 blister de 10 cápsulas
AFRI FARMÁCIA LDA,THEOGRA - 100,"Sildenafil, Citrato",100mg,Comprimidos,10 blister de 4 comprimidos
AFRI FARMÁCIA LDA,RL - COMPOUND SODIUM LACTATO INTRAVENOUS INFUSION BP,Lactato de Sódio + Cloreto de sódio + Cloreto de potássio + Cloreto de cálcio,0.320mg/100ml + 0.6mg/100ml + 0.04mg/100ml + 0.027mg/ml,Injectável,"Frasco de 250ml, 500ml e 1000ml"
AFRI FARMÁCIA LDA,ACUMET,Metronidazol,"500mg/100ml (0,5% w/v)",Infusão Intravenosa,frasco de 100ml
AFRI FARMÁCIA LDA,QUIXONE,Ceftriaxona,1g,Pó para injectável,1 ampola e água para injectável de 10ml
AFRI FARMÁCIA LDA,IRBIS - HT 300/12.5,Irbersatan + Hidrocortiazida,300mg + 12.5mg,comprimidos,3 blister de 10 comprimidos
AFRI FARMÁCIA LDA,IRBIS - HT 150/12.5,Irbersatan + Hidrocortiazida,150mg + 12.5mg,comprimidos,3 blister de 10 comprimidos
AFRI FARMÁCIA LDA,HEPANIR-5000,Heparina,5000IU/ml,Injectável,ampola de 5ml
AFRI FARMÁCIA LDA,ACURIN,Heparina,1000IU/ml,Injectável,ampola de 5ml
AFRI FARMÁCIA LDA,FLUCANIR,Fluconazol,200mg/100ml,Solução Injectável,Frasco de 100ml e 250ml
AFRI FARMÁCIA LDA,FEVERACH,Paracetamol,10mg/ml,Injectável,frasco de 100ml
AFRI FARMÁCIA LDA,EMTRICITABINA & TENOFOVIR DISOPROXIL FUMARATO,Emtricitabina + Tenofovir disopropil fumarato,200mg + 300mg,comprimidos,Frasco de 30 comprimidos
